"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"5572","2016 - Creation of a novel preclinical model of primary blast-induced traumatic brain injury by using lithotripsy shock wave","A. Divani, H. Sadeghi-Bzargani, A. Murphy, B. Sweis, S. Bachour and M. Monga",2016,"Creation of a novel preclinical model of primary blast-induced traumatic brain injury by using lithotripsy shock wave","Journal of Cerebral Blood Flow and Metabolism","36",NA,"207-208","10.1177/0271678X16639008",NA,25704
"5573","2016 - CRMP2 alleviates neurological deficit by reducing neuron apoptosis in rats after cerebral ischemia/reperfusion injury","X. F. Xing, T. Z. Wang and X. Y. Qin",2016,"CRMP2 alleviates neurological deficit by reducing neuron apoptosis in rats after cerebral ischemia/reperfusion injury","Chinese Pharmacological Bulletin","32","4","548-553","10.3969/j.issn.1001-1978.2016.04.021",NA,25705
"5574","2016 - Cryopreservation of Bone Marrow Mononuclear Cells Alters Their Viability and Subpopulation Composition but Not Their Treatment Effects in a Rodent Stroke Model","B. Yang, K. Parsha, K. Schaar, N. Satani, X. Xi, J. Aronowski and S. I. Savitz",2016,"Cryopreservation of Bone Marrow Mononuclear Cells Alters Their Viability and Subpopulation Composition but Not Their Treatment Effects in a Rodent Stroke Model","Stem Cells International","2016",NA,NA,"10.1155/2016/5876836",NA,25707
"5575","2016 - Curcumin attenuates beta-amyloid-induced neuroinflammation via activation of peroxisome proliferator-activated receptor-gamma function in a rat model of Alzheimer's disease","Z. J. Liu, Z. H. Li, L. Liu, W. X. Tang, Y. Wang, M. R. Dong and C. Xiao",2016,"Curcumin attenuates beta-amyloid-induced neuroinflammation via activation of peroxisome proliferator-activated receptor-gamma function in a rat model of Alzheimer's disease","Frontiers in Pharmacology","7","AUG",NA,"10.3389/fphar.2016.00261",NA,25708
"5576","2016 - Curcumin protects against stroke and increases levels of Notch intracellular domain","S. Liu, Y. Cao, M. Qu, Z. Zhang, L. Feng, Z. Ye, M. Xiao, S. T. Hou, R. Zheng and Z. Han",2016,"Curcumin protects against stroke and increases levels of Notch intracellular domain","Neurological Research","38","6","553-559","10.1080/01616412.2016.1187804",NA,25709
"5577","2016 - CXCL14 promotes regulatory T cell-mediated neuroprotection in stroke","C. H. Lin, S. Z. Lin, C. Y. Hsu, C. H. Hsieh, W. C. Shyu and K. H. Chang",2016,"CXCL14 promotes regulatory T cell-mediated neuroprotection in stroke","Cerebrovascular Diseases","42",NA,"86","10.1159/000447732",NA,25710
"5578","2016 - Cyclooxygenase-2 Inhibition Provides Lasting Protection Following Germinal Matrix Hemorrhage in Premature Infant Rats","T. Lekic, P. R. Krafft, D. Klebe, W. B. Rolland, J. Flores, J. Tang and J. H. Zhang",2016,"Cyclooxygenase-2 Inhibition Provides Lasting Protection Following Germinal Matrix Hemorrhage in Premature Infant Rats","Acta Neurochir Suppl","121",NA,"203-7","10.1007/978-3-319-18497-5_36",NA,25711
"5579","2016 - Cytoarchitecture-Dependent Decrease in Propagation Velocity of Cortical Spreading Depression in the Rat Insular Cortex Revealed by Optical Imaging","S. Fujita, N. Mizoguchi, R. Aoki, Y. Cui, N. Koshikawa and M. Kobayashi",2016,"Cytoarchitecture-Dependent Decrease in Propagation Velocity of Cortical Spreading Depression in the Rat Insular Cortex Revealed by Optical Imaging","Cereb Cortex","26","4","1580-1589","10.1093/cercor/bhu336",NA,25712
"5580","2016 - Day/night difference in extradural cortical stimulation for motor relearning in a subacute stroke rat model","J. Y. Kim, W. Sun, E. Park, J. Lee, H. Kim, Y. I. Shin, Y. H. Kim and W. H. Chang",2016,"Day/night difference in extradural cortical stimulation for motor relearning in a subacute stroke rat model","Restorative Neurology and Neuroscience","34","3","379-387","10.3233/RNN-150593",NA,25714
"5581","2016 - Decorin alleviated chronic hydrocephalus via inhibiting TGF-Î²1/Smad/CTGF pathway after subarachnoid hemorrhage in rats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5582","2016 - Deferoxamine inhibits microglial activation, attenuates bloodâ€“brain barrier disruption, rescues dendritic damage, and improves spatial memory in a mouse model of microhemorrhages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5583","2016 - Delayed EPO therapy improves behavioral and histological outcomes after neonatal rodent stroke","A. Larpthaveesarp, M. Georgevits, D. Ferriero and F. Gonzalez",2016,"Delayed EPO therapy improves behavioral and histological outcomes after neonatal rodent stroke","Journal of Investigative Medicine","64","1","285","10.1136/jim-d-15-00013.346",NA,25719
"5584","2016 - Delayed erythropoietin therapy improves histological and behavioral outcomes after transient neonatal stroke","A. Larpthaveesarp, M. Georgevits, D. M. Ferriero and F. F. Gonzalez",2016,"Delayed erythropoietin therapy improves histological and behavioral outcomes after transient neonatal stroke","Neurobiology of Disease","93",NA,"57-63","10.1016/j.nbd.2016.04.006",NA,25720
"5585","2016 - Delayed intravenous administration of drag reducing polymers improves brain microcirculation and neurologic outcome after permanent middle cerebral artery occlusion in rats","O. A. Bragina, J. Wu, Y. Yang, M. V. Kameneva, E. M. Nemoto and D. E. Bragin",2016,"Delayed intravenous administration of drag reducing polymers improves brain microcirculation and neurologic outcome after permanent middle cerebral artery occlusion in rats","Stroke","47",NA,NA,NA,NA,25721
"5586","2016 - Deletion of Nuclear Factor kappa B p50 Subunit Decreases Inflammatory Response and Mildly Protects Neurons from Transient Forebrain Ischemia-induced Damage","T. Rolova, H. Dhungana, P. Korhonen, P. Valonen, N. Kolosowska, H. Konttinen, K. Kanninen, H. Tanila, T. Malm and J. Koistinaho",2016,"Deletion of Nuclear Factor kappa B p50 Subunit Decreases Inflammatory Response and Mildly Protects Neurons from Transient Forebrain Ischemia-induced Damage","Aging Dis","7","4","450-65","10.14336/ad.2015.1123","PMC4963189",25723
"5587","2016 - Design, Synthesis, and Biological Evaluation of Imidazo[1,5-a]quinoline as Highly Potent Ligands of Central Benzodiazepine Receptors","A. Cappelli, M. Anzini, F. Castriconi, G. Grisci, M. Paolino, C. Braile, S. Valenti, G. Giuliani, S. Vomero, A. Di Capua, L. Betti, G. Giannaccini, A. Lucacchini, C. Ghelardini, L. Di Cesare Mannelli, M. Frosini, L. Ricci, G. Giorgi, M. P. Mascia and G. Biggio",2016,"Design, Synthesis, and Biological Evaluation of Imidazo[1,5-a]quinoline as Highly Potent Ligands of Central Benzodiazepine Receptors","Journal of Medicinal Chemistry","59","7","3353-3372","10.1021/acs.jmedchem.6b00034",NA,25726
"5588","2016 - Development and Characterization of a Macaque Model of Focal Internal Capsular Infarcts","Y. Murata and N. Higo",2016,"Development and Characterization of a Macaque Model of Focal Internal Capsular Infarcts","PloS one","11","5","e0154752","10.1371/journal.pone.0154752",NA,25728
"5589","2016 - Development of rehabilitation accelerating agent based on neural plasticity mechanism","H. Abe, S. Jitsuki, T. Komori, W. Nakajima, Y. Murata, N. Higo, T. Okuda, F. Tanaka and T. Takahashi",2016,"Development of rehabilitation accelerating agent based on neural plasticity mechanism","Clinical Neurology","56",NA,"S266",NA,NA,25730
"5590","2016 - Development of two step liquid-liquid extraction tandem UHPLC-MS/MS method for the simultaneous determination of Ginkgo flavonoids, terpene lactones and nimodipine in rat plasma: Application to the pharmacokinetic study of the combination of Ginkgo biloba dispersible tablets and Nimodipine tablets","J. Xiao, T. Wang, P. Li, R. Liu, Q. Li and K. Bi",2016,"Development of two step liquid-liquid extraction tandem UHPLC-MS/MS method for the simultaneous determination of Ginkgo flavonoids, terpene lactones and nimodipine in rat plasma: Application to the pharmacokinetic study of the combination of Ginkgo biloba dispersible tablets and Nimodipine tablets","Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","1028",NA,"33-41","10.1016/j.jchromb.2016.06.005",NA,25731
"5591","2016 - Dexmedetomidine Postconditioning Reduces Brain Injury after Brain Hypoxia-Ischemia in Neonatal Rats","X. Ren, H. Ma and Z. Zuo",2016,"Dexmedetomidine Postconditioning Reduces Brain Injury after Brain Hypoxia-Ischemia in Neonatal Rats","Journal of Neuroimmune Pharmacology","11","2","238-247","10.1007/s11481-016-9658-9",NA,25732
"5592","2016 - Diabetes-induced neuronal degeneration and dysfunctional neovascularization in the hippocampus: Implications for cognitive impairment and stroke","R. Ward, J. P. Valenzuela and A. Ergul",2016,"Diabetes-induced neuronal degeneration and dysfunctional neovascularization in the hippocampus: Implications for cognitive impairment and stroke","Stroke","47",NA,NA,NA,NA,25738
"5593","2016 - Diabetes amplifies vascular injury and worsens ischemic stroke outcome in young female rats: Loss of protection","J. P. Valenzuela, W. Li, Y. Abdul, R. Ward, S. El-Shafey, X. Guo, S. C. Fagan and A. Ergul",2016,"Diabetes amplifies vascular injury and worsens ischemic stroke outcome in young female rats: Loss of protection","Stroke","47",NA,NA,NA,NA,25733
"5594","2016 - Diabetes impairs spatial learning and memory and hippocampal neurogenesis via BDNF in rats with transient global ischemia","H. Han, L. M. Wu, M. X. Han, W. M. Yang, Y. X. Wang and Z. H. Fang",2016,"Diabetes impairs spatial learning and memory and hippocampal neurogenesis via BDNF in rats with transient global ischemia","Brain Research Bulletin","124",NA,"269-277","10.1016/j.brainresbull.2016.05.011",NA,25734
"5595","2016 - Diabetes Mellitus Impairs Cognitive Function in Middle-Aged Rats and Neurological Recovery in Middle-Aged Rats after Stroke","L. Zhang, M. Chopp, Y. Zhang, Y. Xiong, C. Li, N. Sadry, I. Rhaleb, M. Lu and Z. G. Zhang",2016,"Diabetes Mellitus Impairs Cognitive Function in Middle-Aged Rats and Neurological Recovery in Middle-Aged Rats after Stroke","Stroke","47","8","2112-2118","10.1161/STROKEAHA.115.012578",NA,25737
"5596","2016 - Dietary supplementation of GrandFusionÂ® mitigates cerebral ischemia-induced neuronal damage and attenuates inflammation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5597","2016 - Diversity in Morphology and Locomotory Behavior Is Associated with Niche Expansion in the Semi-aquatic Bugs","A. J. J. Crumière, M. E. Santos, M. Sémon, D. Armisén, F. F. F. Moreira and A. Khila",2016,"Diversity in Morphology and Locomotory Behavior Is Associated with Niche Expansion in the Semi-aquatic Bugs","Current biology : CB","26","24","3336-3342","10.1016/j.cub.2016.09.061",NA,25751
"5598","2016 - Dl-3n-butylphthalide protects against the permeability changes of blood brain barrier by influencing tight junctions in Alzheimerâ€™s disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599","2016 - Docosanoid-mediated neuroprotection for stroke: Underlying mechanisms and clinical translation","L. Belayev, L. Khoutorova, S. H. Hong, A. Obenaus and N. G. Bazan",2016,"Docosanoid-mediated neuroprotection for stroke: Underlying mechanisms and clinical translation","Journal of Cerebral Blood Flow and Metabolism","36",NA,"166","10.1177/0271678X16639009",NA,25754
"5600","2016 - Does vitamin d deficiency with post-stroke infection affect behavioral deficits after stroke?","S. Yousuf, F. Atif, C. Espinosa-Garcia, A. Pennati and D. Stein",2016,"Does vitamin d deficiency with post-stroke infection affect behavioral deficits after stroke?","Journal of Neurotrauma","33",NA,"A46","10.1089/neu.2016.29008.abstracts",NA,25755
"5601","2016 - Dose-finding study of phototherapy on stroke outcome in a rabbit model of ischemic stroke","D. M. Meyer, Y. Chen and J. A. Zivin",2016,"Dose-finding study of phototherapy on stroke outcome in a rabbit model of ischemic stroke","Neuroscience Letters","630",NA,"254-258","10.1016/j.neulet.2016.06.038",NA,25758
"5602","2016 - Dose response effects of simvastatin on attenuation of nonconvulsive seizures induced by penetrating ballistic-like brain injury","X. C. M. Lu, Y. Cao, Z. Liao, A. Mountney, J. Browning, D. Shear and F. Tortella",2016,"Dose response effects of simvastatin on attenuation of nonconvulsive seizures induced by penetrating ballistic-like brain injury","Journal of Neurotrauma","33",NA,"A43","10.1089/neu.2016.29008.abstracts",NA,25756
"5603","2016 - DS-1040 an inhibitor of the activated thrombin activatable fibrinolysis inhibitor improves behavior in embolized rabbits","P. A. Lapchak, P. D. Boitano and K. Noguchi",2016,"DS-1040 an inhibitor of the activated thrombin activatable fibrinolysis inhibitor improves behavior in embolized rabbits","Stroke","47",NA,NA,NA,NA,25760
"5604","2016 - Dynamic expression of nerve growth factor and its receptor TrkA after subarachnoid hemorrhage in rat brain","J. N. Song, Z. W. Liu, L. Sui, B. F. Zhang, Y. L. Zhao, X. D. Ma and H. Gu",2016,"Dynamic expression of nerve growth factor and its receptor TrkA after subarachnoid hemorrhage in rat brain","Neural Regeneration Research","11","8","1278-1284","10.4103/1673-5374.189193",NA,25761
"5605","2016 - E2-25K SUMOylation inhibits proteasome for cell death during cerebral ischemia/reperfusion","E. I. Jeong, H. W. Chung, W. J. Lee, S. H. Kim, H. Kim, S. G. Choi and Y. K. Jung",2016,"E2-25K SUMOylation inhibits proteasome for cell death during cerebral ischemia/reperfusion","Cell death & disease","7","12","e2573","10.1038/cddis.2016.428",NA,25762
"5606","2016 - Early immature neuronal death is partially involved in memory impairment induced by cerebral ischemia","J. H. Yi, S. Y. Cho, S. J. Jeon, J. W. Jung, M. S. Park, D. H. Kim and J. H. Ryu",2016,"Early immature neuronal death is partially involved in memory impairment induced by cerebral ischemia","Behavioural Brain Research","308",NA,"75-82","10.1016/j.bbr.2016.04.019",NA,25765
"5607","2016 - ECM hydrogel injection for the treatment of stroke: Characterization of acute host cell invasion","H. Ghuman, A. Massensini, T. Kim, C. Medberry, F. Nicholls, S. Badylak and M. Modo",2016,"ECM hydrogel injection for the treatment of stroke: Characterization of acute host cell invasion","Journal of Cerebral Blood Flow and Metabolism","36",NA,"719-720","10.1177/0271678X16639008",NA,25768
"5608","2016 - Effect of delta opioid receptor activation on spatial cognition and neurogenesis in cerebral ischemic rats","S. Y. Wang, Y. L. Duan, B. Zhao, X. R. Wang, Z. Zhao and G. M. Zhang",2016,"Effect of delta opioid receptor activation on spatial cognition and neurogenesis in cerebral ischemic rats","Neuroscience Letters","620",NA,"20-26","10.1016/j.neulet.2016.03.035",NA,25776
"5609","2016 - Effect of fetal alcohol exposure on stroke severity and blood flow in adult mice","S. Bake, R. Miranda and F. Sohrabji",2016,"Effect of fetal alcohol exposure on stroke severity and blood flow in adult mice","Stroke","47",NA,NA,NA,NA,25780
"5610","2016 - Effect of HEPO genetically modified neural stem cell subarachnoid transplantation on rats with cerebral infarction","J. H. Ge, M. Zhang and S. T. Feng",2016,"Effect of HEPO genetically modified neural stem cell subarachnoid transplantation on rats with cerebral infarction","International Journal of Clinical and Experimental Medicine","9","5","7754-7762",NA,NA,25782
"5611","2016 - Effect of human mesenchymal stem cell transplantation on cerebral ischemic volume-controlled photothrombotic mouse model","Y. K. Choi, E. Urnukhsaikhan, H. H. Yoon, Y. K. Seo and J. K. Park",2016,"Effect of human mesenchymal stem cell transplantation on cerebral ischemic volume-controlled photothrombotic mouse model","Biotechnology Journal","11","11","1397-1404","10.1002/biot.201600057",NA,25783
